id;referencia_oem;pieza;marca;modelo;motor;anio;estado;garantia;disponibilidad;precio;url
69155;1471PV26C;Radiador;BMW;Serie 1;118d;2016;Desmontada de vehículo;1 año;Bajo pedido 24-48h;183,70 € + IVA;https://desguacesmadridnorte.com/69155-pieza.html
69158;9869YT60C;Cremallera de dirección;MERCEDES-BENZ;CLA;180 CDI;2009;Comprobada, funcionando;1 año;En stock;145,36 € + IVA;https://desguacesmadridnorte.com/69158-pieza.html
69159;2465FT14F;Retrovisor derecho;AUDI;A3;2.0 TDI;2020;Desmontada de vehículo;1 año;En stock;147,62 € + IVA;https://desguacesmadridnorte.com/69159-pieza.html
69162;9333EN56B;Airbag volante;KIA;Sportage;1.7 CRDi;2012;Desmontada de vehículo;1 año;En stock;184,45 € + IVA;https://desguacesmadridnorte.com/69162-pieza.html
69164;6114GF90D;Motor de arranque;KIA;Ceed;1.4 CRDi;2019;Comprobada, funcionando;1 año;Bajo pedido 24-48h;118,14 € + IVA;https://desguacesmadridnorte.com/69164-pieza.html
69165;5899MT43B;Radiador;VOLKSWAGEN;Golf;2.0 TDI;2018;Comprobada, funcionando;1 año;En stock;174,92 € + IVA;https://desguacesmadridnorte.com/69165-pieza.html
69168;3589SD20B;Turbo;OPEL;Astra;1.6 CDTI;2006;Desmontada de vehículo;1 año;En stock;409,17 € + IVA;https://desguacesmadridnorte.com/69168-pieza.html
69171;5678ME59B;Alternador;OPEL;Corsa;1.2 16v;2011;Comprobada, funcionando;1 año;Bajo pedido 24-48h;44,56 € + IVA;https://desguacesmadridnorte.com/69171-pieza.html
69173;9832EF13A;Motor de arranque;RENAULT;Clio;1.2 16v;2010;Desmontada de vehículo;1 año;En stock;78,21 € + IVA;https://desguacesmadridnorte.com/69173-pieza.html
69176;5065ED51D;Módulo electrónico;TOYOTA;Corolla;1.8 Hybrid;2014;Comprobada, funcionando;1 año;En stock;87,28 € + IVA;https://desguacesmadridnorte.com/69176-pieza.html
69179;9502HM97D;Capó;MERCEDES-BENZ;Clase A;200 CDI;2016;Sin comprobar;1 año;En stock;242,54 € + IVA;https://desguacesmadridnorte.com/69179-pieza.html
69180;6324PS81C;Puerta delantera izquierda;BMW;Serie 1;118d;2014;Comprobada, funcionando;1 año;Bajo pedido 24-48h;238,89 € + IVA;https://desguacesmadridnorte.com/69180-pieza.html
69182;6736PV58B;Colector de admisión;MERCEDES-BENZ;Clase A;180 CDI;2019;Comprobada, funcionando;1 año;Bajo pedido 24-48h;122,24 € + IVA;https://desguacesmadridnorte.com/69182-pieza.html
69184;8281JE79F;Piloto trasero derecho;SEAT;León;1.6 TDI;2013;Comprobada, funcionando;1 año;En stock;39,12 € + IVA;https://desguacesmadridnorte.com/69184-pieza.html
69186;1355TZ52F;Elevalunas delantero izquierdo;KIA;Ceed;1.6 CRDi;2014;Desmontada de vehículo;1 año;En stock;71,10 € + IVA;https://desguacesmadridnorte.com/69186-pieza.html
69188;1983NF11C;Retrovisor derecho;BMW;X1;20d;2021;Desmontada de vehículo;1 año;En stock;98,08 € + IVA;https://desguacesmadridnorte.com/69188-pieza.html
69189;2979YJ51A;Puerta delantera derecha;CITROEN;C4;1.6 VTi;2020;Comprobada, funcionando;1 año;Bajo pedido 24-48h;177,26 € + IVA;https://desguacesmadridnorte.com/69189-pieza.html
69190;3553LH69B;Bomba de dirección;OPEL;Corsa;1.2 16v;2011;Sin comprobar;1 año;En stock;73,62 € + IVA;https://desguacesmadridnorte.com/69190-pieza.html
69193;3183DA44D;Turbo;SEAT;Ibiza;1.9 TDI;2018;Comprobada, funcionando;1 año;En stock;395,73 € + IVA;https://desguacesmadridnorte.com/69193-pieza.html
69195;9000LJ14F;Motor completo;OPEL;Astra;1.6 CDTI;2015;Desmontada de vehículo;1 año;En stock;1.748,63 € + IVA;https://desguacesmadridnorte.com/69195-pieza.html
69198;7552KG84A;Cárter;AUDI;A4;3.0 TDI;2019;Desmontada de vehículo;1 año;En stock;75,12 € + IVA;https://desguacesmadridnorte.com/69198-pieza.html
69201;6326RL94C;Puerta delantera derecha;SEAT;León;2.0 TDI;2007;Comprobada, funcionando;1 año;En stock;264,24 € + IVA;https://desguacesmadridnorte.com/69201-pieza.html
69202;4519AQ40B;Cárter;BMW;X1;18d;2021;Desmontada de vehículo;1 año;Bajo pedido 24-48h;134,95 € + IVA;https://desguacesmadridnorte.com/69202-pieza.html
69205;9004ET96C;Puerta trasera izquierda;TOYOTA;Proace City;1.5 D-4D;2011;Comprobada, funcionando;1 año;Bajo pedido 24-48h;253,76 € + IVA;https://desguacesmadridnorte.com/69205-pieza.html
69208;2000YB45C;Retrovisor izquierdo;OPEL;Astra;1.7 CDTI;2009;Comprobada, funcionando;1 año;En stock;91,52 € + IVA;https://desguacesmadridnorte.com/69208-pieza.html
69209;3521PX89D;Portón trasero;HYUNDAI;i30;1.6 CRDi;2010;Desmontada de vehículo;1 año;En stock;119,45 € + IVA;https://desguacesmadridnorte.com/69209-pieza.html
69210;6316EZ75A;Retrovisor derecho;HYUNDAI;Tucson;2.0 CRDi;2007;Desmontada de vehículo;1 año;En stock;78,93 € + IVA;https://desguacesmadridnorte.com/69210-pieza.html
69211;2475PY65B;Cárter;AUDI;A3;2.0 TDI;2015;Comprobada, funcionando;1 año;En stock;121,76 € + IVA;https://desguacesmadridnorte.com/69211-pieza.html
69213;7933QM36C;Compresor aire acondicionado;FORD;Fusion;1.4 TDCi;2016;Desmontada de vehículo;1 año;Bajo pedido 24-48h;110,20 € + IVA;https://desguacesmadridnorte.com/69213-pieza.html
69216;3589DF36F;Compresor aire acondicionado;PEUGEOT;3008;1.6 HDi;2011;Desmontada de vehículo;1 año;En stock;94,84 € + IVA;https://desguacesmadridnorte.com/69216-pieza.html
69218;5704MN11D;Retrovisor izquierdo;VOLKSWAGEN;Passat;2.0 TDI;2009;Desmontada de vehículo;1 año;Bajo pedido 24-48h;128,31 € + IVA;https://desguacesmadridnorte.com/69218-pieza.html
69219;6881QN87F;Puerta delantera izquierda;VOLKSWAGEN;Passat;1.6 TDI;2009;Sin comprobar;1 año;En stock;125,39 € + IVA;https://desguacesmadridnorte.com/69219-pieza.html
69222;9688DJ47A;Cárter;VOLKSWAGEN;Polo;1.4 TDI;2007;Comprobada, funcionando;1 año;Bajo pedido 24-48h;53,55 € + IVA;https://desguacesmadridnorte.com/69222-pieza.html
69225;8486WR79A;Piloto trasero izquierdo;AUDI;A3;1.4 TFSI;2008;Comprobada, funcionando;1 año;En stock;58,45 € + IVA;https://desguacesmadridnorte.com/69225-pieza.html
69226;1756CW76A;Parachoques trasero;CITROEN;C3;1.4 HDi;2007;Comprobada, funcionando;1 año;En stock;66,33 € + IVA;https://desguacesmadridnorte.com/69226-pieza.html
69229;6121PB72B;Intercooler;HYUNDAI;i30;1.6 CRDi;2019;Sin comprobar;1 año;En stock;172,20 € + IVA;https://desguacesmadridnorte.com/69229-pieza.html
69230;7303BS69B;Puerta delantera derecha;NISSAN;Juke;1.5 dCi;2017;Comprobada, funcionando;1 año;En stock;178,94 € + IVA;https://desguacesmadridnorte.com/69230-pieza.html
69232;9519FS25E;Elevalunas delantero izquierdo;TOYOTA;Proace City;1.5 D-4D;2018;Comprobada, funcionando;1 año;En stock;113,09 € + IVA;https://desguacesmadridnorte.com/69232-pieza.html
69234;7568AH35A;Portón trasero;PEUGEOT;208;1.4 HDi;2017;Comprobada, funcionando;1 año;En stock;294,74 € + IVA;https://desguacesmadridnorte.com/69234-pieza.html
69235;2895QT95A;Bomba de dirección;OPEL;Corsa;1.2 16v;2013;Comprobada, funcionando;1 año;Bajo pedido 24-48h;58,53 € + IVA;https://desguacesmadridnorte.com/69235-pieza.html
69238;2073JG10C;Colector de admisión;TOYOTA;Proace City;1.5 D-4D;2020;Sin comprobar;1 año;En stock;56,49 € + IVA;https://desguacesmadridnorte.com/69238-pieza.html
69241;4899RB79C;Retrovisor derecho;NISSAN;Qashqai;1.5 dCi;2010;Comprobada, funcionando;1 año;Bajo pedido 24-48h;89,72 € + IVA;https://desguacesmadridnorte.com/69241-pieza.html
69242;8227YW32B;Cuadro de instrumentos;MERCEDES-BENZ;Clase A;180 CDI;2006;Comprobada, funcionando;1 año;En stock;77,03 € + IVA;https://desguacesmadridnorte.com/69242-pieza.html
69244;2514AM19F;Parachoques trasero;OPEL;Astra;1.6 CDTI;2013;Comprobada, funcionando;1 año;Bajo pedido 24-48h;236,38 € + IVA;https://desguacesmadridnorte.com/69244-pieza.html
69246;2890EA58A;Puerta delantera derecha;TOYOTA;Proace City;1.5 D-4D;2009;Desmontada de vehículo;1 año;Bajo pedido 24-48h;239,62 € + IVA;https://desguacesmadridnorte.com/69246-pieza.html
69247;5133HD58B;Puerta trasera izquierda;RENAULT;Megane;1.6 dCi;2016;Comprobada, funcionando;1 año;Bajo pedido 24-48h;109,72 € + IVA;https://desguacesmadridnorte.com/69247-pieza.html
69250;3875ZQ85A;Faro delantero izquierdo;RENAULT;Megane;1.5 dCi;2005;Comprobada, funcionando;1 año;Bajo pedido 24-48h;151,17 € + IVA;https://desguacesmadridnorte.com/69250-pieza.html
69252;3418PJ12D;Capó;SKODA;Fabia;1.2 TSI;2007;Sin comprobar;1 año;En stock;68,09 € + IVA;https://desguacesmadridnorte.com/69252-pieza.html
69254;2118NJ66D;Piloto trasero izquierdo;CITROEN;C4;1.6 HDi;2008;Comprobada, funcionando;1 año;En stock;25,62 € + IVA;https://desguacesmadridnorte.com/69254-pieza.html
69257;1501GG99C;Faro delantero derecho;NISSAN;Qashqai;1.6 dCi;2015;Desmontada de vehículo;1 año;En stock;184,97 € + IVA;https://desguacesmadridnorte.com/69257-pieza.html
69259;9789NG88E;Cerradura puerta delantera;TOYOTA;Proace City;1.5 D-4D;2008;Comprobada, funcionando;1 año;Bajo pedido 24-48h;26,13 € + IVA;https://desguacesmadridnorte.com/69259-pieza.html
69260;4201KF65F;Motor de arranque;OPEL;Corsa;1.2 16v;2019;Sin comprobar;1 año;En stock;61,53 € + IVA;https://desguacesmadridnorte.com/69260-pieza.html
69263;6528TK62B;Amortiguador delantero;NISSAN;Qashqai;1.6 dCi;2014;Desmontada de vehículo;1 año;Bajo pedido 24-48h;72,18 € + IVA;https://desguacesmadridnorte.com/69263-pieza.html
69265;7347WM41E;Parachoques delantero;HYUNDAI;i30;1.4 CRDi;2021;Sin comprobar;1 año;Bajo pedido 24-48h;120,06 € + IVA;https://desguacesmadridnorte.com/69265-pieza.html
69267;3577PS34C;Cuadro de instrumentos;KIA;Ceed;1.6 CRDi;2011;Comprobada, funcionando;1 año;Bajo pedido 24-48h;92,97 € + IVA;https://desguacesmadridnorte.com/69267-pieza.html
69270;9452XD63B;Compresor aire acondicionado;BMW;Serie 1;118d;2017;Comprobada, funcionando;1 año;En stock;166,95 € + IVA;https://desguacesmadridnorte.com/69270-pieza.html
69272;2630XD34E;Bomba de agua;VOLKSWAGEN;Golf;1.6 TDI;2015;Desmontada de vehículo;1 año;En stock;75,25 € + IVA;https://desguacesmadridnorte.com/69272-pieza.html
69273;7940EC12F;Bomba de dirección;PEUGEOT;208;1.4 HDi;2016;Desmontada de vehículo;1 año;Bajo pedido 24-48h;64,98 € + IVA;https://desguacesmadridnorte.com/69273-pieza.html
69274;1770PF64F;Puerta delantera izquierda;VOLKSWAGEN;Golf;2.0 TDI;2006;Comprobada, funcionando;1 año;En stock;175,07 € + IVA;https://desguacesmadridnorte.com/69274-pieza.html
69275;6038JP23F;Piloto trasero derecho;SEAT;León;1.6 TDI;2008;Comprobada, funcionando;1 año;En stock;34,81 € + IVA;https://desguacesmadridnorte.com/69275-pieza.html
69278;6091HW77B;Bomba de dirección;VOLKSWAGEN;Golf;2.0 TDI;2013;Desmontada de vehículo;1 año;Bajo pedido 24-48h;93,80 € + IVA;https://desguacesmadridnorte.com/69278-pieza.html
69280;4406ZV66B;Radiador;HYUNDAI;Tucson;2.0 CRDi;2019;Comprobada, funcionando;1 año;Bajo pedido 24-48h;97,41 € + IVA;https://desguacesmadridnorte.com/69280-pieza.html
69283;6531ZL91A;Capó;HYUNDAI;i30;1.4 CRDi;2012;Comprobada, funcionando;1 año;Bajo pedido 24-48h;63,75 € + IVA;https://desguacesmadridnorte.com/69283-pieza.html
69285;8420VL82D;Parachoques delantero;RENAULT;Clio;1.2 16v;2008;Comprobada, funcionando;1 año;En stock;179,73 € + IVA;https://desguacesmadridnorte.com/69285-pieza.html
69287;8634BW12F;Motor de arranque;SKODA;Octavia;1.6 TDI;2013;Comprobada, funcionando;1 año;Bajo pedido 24-48h;106,18 € + IVA;https://desguacesmadridnorte.com/69287-pieza.html
69290;5216AG37A;Motor completo;OPEL;Astra;1.7 CDTI;2018;Comprobada, funcionando;1 año;En stock;1.480,74 € + IVA;https://desguacesmadridnorte.com/69290-pieza.html
69293;1890KE23D;Retrovisor derecho;CITROEN;C3;1.2 PureTech;2019;Comprobada, funcionando;1 año;En stock;43,57 € + IVA;https://desguacesmadridnorte.com/69293-pieza.html
69296;1392KP57E;Bomba de agua;SEAT;Ateca;1.5 TSI;2017;Desmontada de vehículo;1 año;En stock;27,09 € + IVA;https://desguacesmadridnorte.com/69296-pieza.html
69299;3703WN16A;Faro delantero izquierdo;VOLKSWAGEN;Golf;2.0 TDI;2009;Desmontada de vehículo;1 año;Bajo pedido 24-48h;99,90 € + IVA;https://desguacesmadridnorte.com/69299-pieza.html
69300;8041GJ69E;Centralita motor;MERCEDES-BENZ;Clase A;200 CDI;2005;Sin comprobar;1 año;En stock;213,94 € + IVA;https://desguacesmadridnorte.com/69300-pieza.html
69302;2262MN19A;Faro delantero derecho;FORD;Focus;1.6 TDCi;2005;Comprobada, funcionando;1 año;Bajo pedido 24-48h;139,51 € + IVA;https://desguacesmadridnorte.com/69302-pieza.html
69304;9831TD79A;Retrovisor izquierdo;RENAULT;Captur;0.9 TCe;2012;Comprobada, funcionando;1 año;Bajo pedido 24-48h;42,13 € + IVA;https://desguacesmadridnorte.com/69304-pieza.html
69305;7395JV92D;Cerradura puerta delantera;OPEL;Corsa;1.3 CDTI;2009;Comprobada, funcionando;1 año;En stock;21,52 € + IVA;https://desguacesmadridnorte.com/69305-pieza.html
69308;5701TB81C;Puerta delantera derecha;FORD;Fiesta;1.0 EcoBoost;2007;Comprobada, funcionando;1 año;En stock;217,92 € + IVA;https://desguacesmadridnorte.com/69308-pieza.html
69311;2693GK25C;Centralita motor;NISSAN;Juke;1.2 DIG-T;2013;Desmontada de vehículo;1 año;En stock;207,69 € + IVA;https://desguacesmadridnorte.com/69311-pieza.html
69312;2113KP21B;Faro delantero izquierdo;NISSAN;Qashqai;1.6 dCi;2009;Comprobada, funcionando;1 año;Bajo pedido 24-48h;204,50 € + IVA;https://desguacesmadridnorte.com/69312-pieza.html
69314;9174SP97C;Colector de admisión;AUDI;A3;2.0 TDI;2005;Desmontada de vehículo;1 año;Bajo pedido 24-48h;114,59 € + IVA;https://desguacesmadridnorte.com/69314-pieza.html
69316;2020XX53C;Turbo;FORD;Fiesta;1.0 EcoBoost;2020;Comprobada, funcionando;1 año;Bajo pedido 24-48h;489,51 € + IVA;https://desguacesmadridnorte.com/69316-pieza.html
69317;8100QY16F;Retrovisor derecho;HYUNDAI;i30;1.4 CRDi;2007;Sin comprobar;1 año;En stock;95,36 € + IVA;https://desguacesmadridnorte.com/69317-pieza.html
69319;2993JD41D;Parachoques trasero;NISSAN;Juke;1.2 DIG-T;2008;Comprobada, funcionando;1 año;En stock;146,96 € + IVA;https://desguacesmadridnorte.com/69319-pieza.html
69321;6752FN92B;Airbag volante;HYUNDAI;Tucson;2.0 CRDi;2008;Comprobada, funcionando;1 año;Bajo pedido 24-48h;74,87 € + IVA;https://desguacesmadridnorte.com/69321-pieza.html
69323;4292CN58C;Piloto trasero derecho;HYUNDAI;Tucson;2.0 CRDi;2014;Comprobada, funcionando;1 año;Bajo pedido 24-48h;54,02 € + IVA;https://desguacesmadridnorte.com/69323-pieza.html
69325;2456GJ33A;Intercooler;OPEL;Corsa;1.2 16v;2012;Desmontada de vehículo;1 año;En stock;138,09 € + IVA;https://desguacesmadridnorte.com/69325-pieza.html
69327;5754ZC90A;Faro delantero izquierdo;FORD;Fusion;1.4 TDCi;2018;Comprobada, funcionando;1 año;Bajo pedido 24-48h;130,72 € + IVA;https://desguacesmadridnorte.com/69327-pieza.html
69328;2960ZY45A;Radiador;KIA;Ceed;1.4 CRDi;2021;Comprobada, funcionando;1 año;Bajo pedido 24-48h;101,69 € + IVA;https://desguacesmadridnorte.com/69328-pieza.html
69331;5426AY46B;Intercooler;TOYOTA;Camry;2.5 Hybrid;2015;Sin comprobar;1 año;En stock;231,00 € + IVA;https://desguacesmadridnorte.com/69331-pieza.html
69332;3111JJ60A;Portón trasero;SKODA;Octavia;1.6 TDI;2021;Comprobada, funcionando;1 año;Bajo pedido 24-48h;416,72 € + IVA;https://desguacesmadridnorte.com/69332-pieza.html
69333;1260ZB90C;Parachoques trasero;BMW;X1;20d;2005;Comprobada, funcionando;1 año;En stock;210,48 € + IVA;https://desguacesmadridnorte.com/69333-pieza.html
69336;3553RG38A;Aleta delantera izquierda;AUDI;A4;2.0 TDI;2008;Comprobada, funcionando;1 año;Bajo pedido 24-48h;117,60 € + IVA;https://desguacesmadridnorte.com/69336-pieza.html
69339;9668ZD63F;Faro delantero izquierdo;AUDI;A3;1.6 TDI;2021;Desmontada de vehículo;1 año;En stock;348,00 € + IVA;https://desguacesmadridnorte.com/69339-pieza.html
69340;1465HS40A;Parachoques trasero;VOLKSWAGEN;Golf;2.0 TDI;2012;Comprobada, funcionando;1 año;En stock;123,92 € + IVA;https://desguacesmadridnorte.com/69340-pieza.html
69342;2416PR22C;Airbag volante;AUDI;Q3;2.0 TDI;2005;Comprobada, funcionando;1 año;En stock;141,13 € + IVA;https://desguacesmadridnorte.com/69342-pieza.html
69344;1692SZ21B;Alternador;TOYOTA;Proace City;1.5 D-4D;2007;Sin comprobar;1 año;Bajo pedido 24-48h;132,29 € + IVA;https://desguacesmadridnorte.com/69344-pieza.html
69345;9328CG35D;Puerta delantera izquierda;NISSAN;Juke;1.2 DIG-T;2010;Comprobada, funcionando;1 año;En stock;189,46 € + IVA;https://desguacesmadridnorte.com/69345-pieza.html
69348;2739KR12F;Capó;NISSAN;Juke;1.2 DIG-T;2016;Desmontada de vehículo;1 año;Bajo pedido 24-48h;141,54 € + IVA;https://desguacesmadridnorte.com/69348-pieza.html
69349;6403DN73D;Cárter;TOYOTA;Corolla;1.4 D-4D;2015;Desmontada de vehículo;1 año;En stock;36,94 € + IVA;https://desguacesmadridnorte.com/69349-pieza.html
69351;2944QY97F;Colector de admisión;VOLKSWAGEN;Passat;1.6 TDI;2013;Comprobada, funcionando;1 año;Bajo pedido 24-48h;121,32 € + IVA;https://desguacesmadridnorte.com/69351-pieza.html
69352;3848AS27F;Parachoques trasero;HYUNDAI;Tucson;2.0 CRDi;2009;Comprobada, funcionando;1 año;En stock;139,84 € + IVA;https://desguacesmadridnorte.com/69352-pieza.html
69354;1413YW91F;Faro delantero derecho;RENAULT;Captur;1.5 dCi;2009;Comprobada, funcionando;1 año;En stock;89,84 € + IVA;https://desguacesmadridnorte.com/69354-pieza.html
69355;5892DL25D;Retrovisor derecho;MERCEDES-BENZ;CLA;200 CDI;2021;Desmontada de vehículo;1 año;En stock;187,67 € + IVA;https://desguacesmadridnorte.com/69355-pieza.html
69358;6971PG92D;Cremallera de dirección;TOYOTA;Camry;2.5 Hybrid;2009;Desmontada de vehículo;1 año;En stock;169,74 € + IVA;https://desguacesmadridnorte.com/69358-pieza.html
69361;7599XD32A;Alternador;VOLKSWAGEN;Passat;1.6 TDI;2021;Comprobada, funcionando;1 año;Bajo pedido 24-48h;81,18 € + IVA;https://desguacesmadridnorte.com/69361-pieza.html
69364;7628ZV60E;Portón trasero;KIA;Sportage;1.7 CRDi;2006;Comprobada, funcionando;1 año;En stock;93,50 € + IVA;https://desguacesmadridnorte.com/69364-pieza.html
69366;1557CG56A;Puerta delantera izquierda;HYUNDAI;Tucson;1.7 CRDi;2014;Comprobada, funcionando;1 año;En stock;356,48 € + IVA;https://desguacesmadridnorte.com/69366-pieza.html
69367;5424HH90C;Bomba de agua;MERCEDES-BENZ;CLA;180 CDI;2020;Comprobada, funcionando;1 año;Bajo pedido 24-48h;50,83 € + IVA;https://desguacesmadridnorte.com/69367-pieza.html
69368;6321JG23D;Retrovisor izquierdo;KIA;Sportage;1.7 CRDi;2018;Comprobada, funcionando;1 año;En stock;160,88 € + IVA;https://desguacesmadridnorte.com/69368-pieza.html
69370;3594AM25A;Centralita motor;FORD;Fusion;1.4 TDCi;2010;Comprobada, funcionando;1 año;Bajo pedido 24-48h;131,85 € + IVA;https://desguacesmadridnorte.com/69370-pieza.html
69372;2900VA77B;Cárter;VOLKSWAGEN;Golf;1.4 TSI;2008;Comprobada, funcionando;1 año;Bajo pedido 24-48h;103,26 € + IVA;https://desguacesmadridnorte.com/69372-pieza.html
69375;3142FF37F;Cremallera de dirección;MERCEDES-BENZ;Clase E Coupé;220 CDI;2016;Desmontada de vehículo;1 año;Bajo pedido 24-48h;493,00 € + IVA;https://desguacesmadridnorte.com/69375-pieza.html
69377;5995FK59E;Puerta delantera izquierda;FORD;Focus;2.0 TDCi;2017;Comprobada, funcionando;1 año;En stock;119,33 € + IVA;https://desguacesmadridnorte.com/69377-pieza.html
69378;3566WX72C;Catalizador;RENAULT;Captur;0.9 TCe;2019;Comprobada, funcionando;1 año;Bajo pedido 24-48h;233,14 € + IVA;https://desguacesmadridnorte.com/69378-pieza.html
69380;1842YM53A;Elevalunas delantero izquierdo;MERCEDES-BENZ;Clase A;180 CDI;2019;Comprobada, funcionando;1 año;Bajo pedido 24-48h;60,64 € + IVA;https://desguacesmadridnorte.com/69380-pieza.html
69383;4605HG75D;Airbag volante;MERCEDES-BENZ;Clase A;200 CDI;2018;Sin comprobar;1 año;En stock;123,70 € + IVA;https://desguacesmadridnorte.com/69383-pieza.html
69386;7574KJ46D;Portón trasero;MERCEDES-BENZ;Clase E Coupé;250 CDI;2008;Sin comprobar;1 año;En stock;162,56 € + IVA;https://desguacesmadridnorte.com/69386-pieza.html
69387;3088PN96A;Portón trasero;SKODA;Fabia;1.4 TDI;2010;Desmontada de vehículo;1 año;En stock;93,50 € + IVA;https://desguacesmadridnorte.com/69387-pieza.html
69388;9184TS32A;Motor de arranque;MERCEDES-BENZ;Clase E Coupé;250 CDI;2007;Comprobada, funcionando;1 año;Bajo pedido 24-48h;93,73 € + IVA;https://desguacesmadridnorte.com/69388-pieza.html
69391;9155CD10A;Alternador;MERCEDES-BENZ;CLA;200 CDI;2019;Sin comprobar;1 año;Bajo pedido 24-48h;152,46 € + IVA;https://desguacesmadridnorte.com/69391-pieza.html
69392;3738AR12A;Aleta delantera izquierda;PEUGEOT;3008;2.0 HDi;2005;Desmontada de vehículo;1 año;Bajo pedido 24-48h;55,88 € + IVA;https://desguacesmadridnorte.com/69392-pieza.html
